apk_path,sha256,label,year,split,apk_size_bytes,num_dex_files
/mnt/Files/thesis_full_dataset/2020/benign/0000F398D2F16CEDDE5FC791792F93B8565DF2917C6DBAE05B4B4D33E47AE68B.apk,0000f398d2f16cedde5fc791792f93b8565df2917c6dbae05b4b4d33e47ae68b,0,2020,train,1605868,1
/mnt/Files/thesis_full_dataset/2020/benign/000446B49463394948452D0FCE43559BB3BEBC4E9B865A51AAB52701C6E7D28E.apk,000446b49463394948452d0fce43559bb3bebc4e9b865a51aab52701c6e7d28e,0,2020,train,2778489,1
/mnt/Files/thesis_full_dataset/2020/benign/0008067A87A7C42547279A01C782C71FBC7344CCB1FB9F526737E8B6D9C2260C.apk,0008067a87a7c42547279a01c782c71fbc7344ccb1fb9f526737e8b6d9c2260c,0,2020,train,4520921,1
/mnt/Files/thesis_full_dataset/2020/benign/000D238624934B4090223328C21C0F4161F441C97573C5F0B9F01726567D9AB4.apk,000d238624934b4090223328c21c0f4161f441c97573c5f0b9f01726567d9ab4,0,2020,train,3762925,1
/mnt/Files/thesis_full_dataset/2020/benign/000E04BD33362AFF5C7F660B0B312B289CCCA5AECD64483311C1F499EADBC52F.apk,000e04bd33362aff5c7f660b0b312b289ccca5aecd64483311c1f499eadbc52f,0,2020,train,4260550,1
/mnt/Files/thesis_full_dataset/2020/benign/0010746C2CBB0F34E2D1244D3247CD5010DEC5383BCBD8706E636B333487EE49.apk,0010746c2cbb0f34e2d1244d3247cd5010dec5383bcbd8706e636b333487ee49,0,2020,train,7720395,1
/mnt/Files/thesis_full_dataset/2020/benign/0012260A8F06A02FC0537F74D35D17B7B1ADF34EFB78E470955B18554B4BC072.apk,0012260a8f06a02fc0537f74d35d17b7b1adf34efb78e470955b18554b4bc072,0,2020,train,3349518,1
/mnt/Files/thesis_full_dataset/2020/benign/0015CF701EFFBA5A3F5CB80C69A83AC7D67A77E7DEECAC7E70BC9FF37E99CFBB.apk,0015cf701effba5a3f5cb80c69a83ac7d67a77e7deecac7e70bc9ff37e99cfbb,0,2020,train,3214269,1
/mnt/Files/thesis_full_dataset/2020/benign/001AF0DEB4B413EF52A6A6063569126F7DD698783A7126455CDA8EF8E4A97983.apk,001af0deb4b413ef52a6a6063569126f7dd698783a7126455cda8ef8e4a97983,0,2020,train,5655842,3
/mnt/Files/thesis_full_dataset/2020/benign/001B74F83BB2560679B048CDD39DF534D77CB3BF74AF1E712827A4A873F69DCC.apk,001b74f83bb2560679b048cdd39df534d77cb3bf74af1e712827a4a873f69dcc,0,2020,train,19978009,1
